Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,ПОЗ,НАИМЕНОВАНИЕ,КОЛ-ВО,"Мощность приводного электродвигателя, кВт","Частота,
об/мин.",Тип редуктора,"Ширина полотна или ленты,
мм","Расстояние между шестернями и натяжным барабаном, мм","Длина ленты,
м","Скорость движения полотна или ленты, м/с","Диаметр приводного барабана, мм",Состаяние
,,,,,,,,,,,,
,КОРПУС КРУПНОГО ДРОБЛЕНИЯ,,,,,,,,,,,
,1,Питатель пластинчатый 2-24-120 ,4,32(50),1000,"Ц3-1615, i=15,8",2400,12000,-,"0,06; 0,08; 0,12; 0,16",-,"Работает с 1988г. Находится в   рабочем состояние, нуждается в капитальном ремонте,для бетонной основании нужен професиональный анализ"
, КОРПУС  СРЕДНЕГО И МЕЛКОГО  ДРОБЛЕНИЯ,,,,,,,,,,,
,1,Питатель пластинчатый 2-12-60,4,45,1000,,1200,6000,-,-,-,"Работает с 1954г. Находится в   рабочем состояние, нуждается в капитальном ремонте, для бетонной основании нужен професиональный анализ"
,2,Питатель пластинчатый 2-12-90,2,45,1000,"ЦТ1450,i=227.18",1000,9000,24,-,-,"Работает с 1977г. Находится в   рабочем состояние, нуждается в капитальном ремонте, для бетонной основании нужен професиональный анализ"
,УЧАСТОК ТРАНСПОРТИРОВКИ,,,,,,,,,,,
,1,Питатель ленточный 20,20,7.5,1000,Ц2У-315Н ,1200,-,6.15,0.8,-,"Работает с 1988г. Находится в   рабочем состояние, нуждается в капитальном ремонте, для бетонной основании нужен професиональный анализ"
